Rank,Title,Artist,Label,Core Genre,Release Date,Albums w/TEA w/SEA On-Demand Audio - YTD,Albums Sales - YTD,Physical Albums Sales - YTD,Digital Albums Sales - YTD,Digital Song Sales - YTD,Streaming On-Demand Audio - YTD,
1,Pentatonix Christmas,Pentatonix,RCA,Holiday/Seasonal,10/21/2016,"1,024,520","914,979","657,219","257,760","463,898","94,727,574",
2,Christmas Together,Garth Brooks,PEAR,Holiday/Seasonal,11/11/2016,"267,039","264,805","257,662","7,143",,"3,351,008",
3,'Tis The Season,Jordan Smith,R-RR,Holiday/Seasonal,10/28/2016,"164,886","157,185","105,966","51,219","47,515","4,423,813",
4,Ghosts Of Christmas Eve,Trans-Siberian Orchestra,ATLG,Holiday/Seasonal,10/21/2016,"136,545","113,012","42,879","70,133","124,468","16,629,921",
5,Christmas Hits,Christmas Hits,PID,Holiday/Seasonal,11/23/2004,"136,400",4,3,1,"484,716","131,887,102",
6,Merry Xmas,Merry Xmas,HIPD,Holiday/Seasonal,09/13/2005,"130,076",11,,11,"274,521","153,918,749",
7,Merry Christmas,Mariah Carey,COL,Holiday/Seasonal,09/20/1994,"124,507","55,082","36,867","18,215","232,313","69,290,668",
8,These Are Special Times,Celine Dion,COL,Holiday/Seasonal,11/03/1998,"117,667","71,842","64,515","7,327","219,220","35,854,654",
9,Charlie Brown Christmas,Vince Guaraldi Trio,FAN,Children,09/01/1990,"113,810","70,274","50,450","19,824","55,677","56,952,426",
10,Tennessee Christmas,Amy Grant,AGGS,Holiday/Seasonal,10/21/2016,"113,647","110,543","95,665","14,878","13,846","2,579,868",
11,Adore: Christmas Songs Of Wor,Chris Tomlin,SXSP,Holiday/Seasonal,10/23/2015,"113,261","104,684","95,138","9,546","39,129","6,996,083",
12,Glow,Brett Eldredge,ATLG,Holiday/Seasonal,10/28/2016,"102,014","94,759","63,701","31,058","28,134","6,663,333",
13,Behold,Lauren Daigle,CNTR,Holiday/Seasonal,10/16/2016,"99,395","90,527","65,155","25,372","33,358","8,298,392",
14,It's Christmas Time,Elvis Presley,SMCM,Holiday/Seasonal,09/14/1999,"97,778","72,222","72,222",,"48,695","31,030,040",
15,White Christmas,Bing Crosby,INT,Holiday/Seasonal,09/01/1990,"93,206","41,164","28,220","12,944","87,856","64,884,689",
16,Johnny Cash,Johnny Cash,,Country,03/23/1999,"83,350",426,426,,"360,159","70,362,392",
17,Acoustic Christmas,Neil Diamond,CAP,Holiday/Seasonal,10/28/2016,"83,219","81,923","76,414","5,509","8,021","740,770",
18,Holidays & Hits,Frank Sinatra,,Holiday/Seasonal,10/20/2009,"79,114",,,,"150,659","96,072,152",
19,It Must Be Christmas,Chris Young,RCNA,Holiday/Seasonal,10/14/2016,"77,607","70,908","53,595","17,313","26,159","6,125,025",
20,Christmas Songs By Sinatra,Frank Sinatra,COL,Holiday/Seasonal,09/13/1994,"74,370","43,992","43,342",650,"42,146","39,244,822",
21,'Tis The Season   (Xmas Cd),Jimmy Buffett,MBD,Holiday/Seasonal,10/28/2016,"74,317","71,925","56,219","15,706","16,915","1,049,875",
22,Christmas Song,Nat King Cole,CAP,Holiday/Seasonal,10/10/1986,"70,463","28,902","15,575","13,327","67,317","52,245,052",
23,Christmas Collection,Bing Crosby,INT,Holiday/Seasonal,09/09/1991,"68,823","33,844","32,542","1,302","57,618","43,824,591",
24,Wonderland,Sarah McLachlan,VERV,Holiday/Seasonal,10/21/2016,"67,658","64,202","44,635","19,567","19,369","2,278,342",
25,Greatest Gift Of All,Rascal Flatts,BGMA,Holiday/Seasonal,10/21/2016,"66,632","64,410","55,983","8,427","12,361","1,478,264",
26,Icon Christmas,Frank Sinatra,CAP,Holiday/Seasonal,09/10/2013,"66,520","32,804","28,102","4,702","46,444","43,606,968",
27,Merry Christmas Love Elvis,Elvis Presley,RCA,Rock,08/06/2013,"65,588","45,881","45,881",,"37,864","23,880,865",
28,Classic Christmas Album,Elvis Presley,RCA,Holiday/Seasonal,10/02/2012,"65,281","32,404","26,026","6,378","68,614","39,022,808",
