Rank,Title,Artist,Label,Core Genre,Release Date,Albums w/TEA w/SEA On-Demand Audio - YTD,Albums Sales - YTD,Physical Albums Sales - YTD,Digital Albums Sales - YTD,Digital Song Sales - YTD,Streaming On-Demand Audio - YTD
1,Pentatonix Christmas,Pentatonix,RCA,Holiday/Seasonal,10/21/2016,"502,280","349,841","262,862","86,979","324,834","179,934,667"
2,Christmas Hits,Christmas Hits,PID,Holiday/Seasonal,11/23/2004,"339,768",1,1,,"374,288","453,507,440"
3,Merry Xmas,Merry Xmas,HIPD,Holiday/Seasonal,09/13/2005,"187,518",7,,7,"234,611","246,075,305"
4,You Make It Feel Like Christmas,Gwen Stefani,INT,Holiday/Seasonal,10/06/2017,"158,255","128,855","92,467","36,388","80,304","32,054,913"
5,Merry Christmas,Mariah Carey,COL,Holiday/Seasonal,09/20/1994,"157,070","48,418","35,643","12,775","175,898","136,592,938"
6,Warmer In The Winter,Lindsey Stirling,CNCO,Holiday/Seasonal,10/20/2017,"146,742","131,551","89,260","42,291","64,272","13,146,925"
7,Charlie Brown Christmas,Vince Guaraldi Trio,FAN,Children,09/01/1990,"130,426","62,697","46,492","16,205","44,907","94,858,222"
8,These Are Special Times,Celine Dion,COL,Holiday/Seasonal,11/03/1998,"117,339","60,475","55,495","4,980","169,244","59,909,749"
9,Holidays & Hits,Frank Sinatra,,Holiday/Seasonal,10/20/2009,"115,078",,,,"116,129","155,197,251"
10,My Kind Of Christmas,Reba,BGMA,Holiday/Seasonal,08/21/2016,"107,032","90,560","84,915","5,645","106,792","8,688,383"
11,Magic Christmas,Magic Christmas,ORCH,Holiday/Seasonal,09/07/1992,"106,874",1,1,,"113,008","143,358,014"
12,Ultimate Christmas,Frank Sinatra,CAP,Holiday/Seasonal,10/06/2017,"105,677","46,204","39,064","7,140","39,714","83,252,218"
13,Classic Christmas Album,Elvis Presley,RCA,Holiday/Seasonal,10/02/2012,"105,242","48,750","44,525","4,225","55,095","76,472,539"
14,White Christmas,Bing Crosby,INT,Holiday/Seasonal,09/01/1990,"104,596","21,043","12,858","8,185","76,964","113,784,143"
15,It's Christmas Time,Elvis Presley,SMCM,Holiday/Seasonal,09/14/1999,"98,921","54,837","54,837",,"39,167","60,251,472"
16,Johnny Cash,Johnny Cash,,Country,03/23/1999,"98,078",188,188,,"262,491","107,462,393"
17,Happy Holidays,Happy Holidays,NOQR,Holiday/Seasonal,09/07/1993,"96,718",1,1,,"113,532","128,045,315"
18,Christmas Song,Nat King Cole,CAP,Holiday/Seasonal,10/10/1986,"96,084","28,566","18,110","10,456","57,445","92,659,965"
19,Holidays & Hits,Nat King Cole,CAP,Holiday/Seasonal,10/20/2009,"90,971",266,,266,"139,173","115,181,819"
20,Christmas Classics,Bing Crosby,CAP,Holiday/Seasonal,10/24/1988,"89,362","13,748","4,507","9,241","61,748","104,158,679"
21,Christmas With The Rat Pack,Rat Pack,CAP,Holiday/Seasonal,08/24/2010,"87,376","21,153","15,197","5,956","57,930","90,645,999"
22,Classic Christmas Album,Frank Sinatra,COL,Holiday/Seasonal,10/07/2014,"87,353","11,713","11,192",521,"48,444","106,193,285"
23,"Cheers, It's Christmas",Blake Shelton,WAR,Holiday/Seasonal,09/18/2012,"82,608","59,703","56,766","2,937","15,135","32,086,960"
24,Coolest Yule Ever,Coolest Yule Ever,DELT,Holiday/Seasonal,10/09/2007,"82,362",,,,"84,163","110,918,941"
25,Christmas Collection,Bing Crosby,INT,Holiday/Seasonal,09/09/1991,"81,143","31,629","30,727",902,"49,424","66,857,354"
26,Elvis: Ultimate Christmas,Elvis Presley,SMCM,Holiday/Seasonal,08/05/2015,"79,698","27,271","27,271",,"44,372","71,984,112"
