Market,Activity,12/16/2016,12/17/2016,12/18/2016,12/19/2016,12/20/2016,12/21/2016,12/22/2016,12/23/2016,12/24/2016,12/25/2016,12/26/2016,12/27/2016,12/28/2016,12/29/2016
National,Equivalents,,,,,,,,,,,,,,
National,Albums w/TEA w/SEA On-Demand,"261,810","283,762","243,022","228,034","232,862","255,581","351,628","332,173","374,713","258,265","87,840","49,657","22,579","53,776"
National,Albums w/TEA w/SEA On-Demand Audio,"233,610","258,064","221,860","204,124","210,348","230,021","320,743","293,197","312,440","208,640","77,772","42,851","17,630","49,382"
National,Albums w/ TEA,"187,270","207,931","178,978","159,558","164,067","181,300","266,562","228,587","216,466","98,954","54,390","32,110","9,724","42,607"
National,Sales,,,,,,,,,,,,,,
National,Total Album Sales,"172,412","189,364","162,718","146,790","150,838","166,895","250,332","209,047","192,233","82,019","47,955","28,289","6,892","42,606"
National,Physical Albums Sales,"130,558","134,793","118,171","114,039","116,038","129,478","202,992","154,360","119,730","37,540","38,073","22,808","3,011","40,064"
National,Digital Albums Sales,"41,854","54,571","44,547","32,751","34,800","37,417","47,340","54,687","72,503","44,479","9,882","5,481","3,881","2,542"
National,Digital Song Sales,"148,577","185,673","162,604","127,681","132,288","144,053","162,296","195,402","242,325","169,353","64,353","38,206","28,317",5
National,Streaming,,,,,,,,,,,,,,
National,Total Streaming On-Demand,"111,810,455","113,746,147","96,064,731","102,713,754","103,192,179","111,420,942","127,599,069","155,379,030","237,371,795","238,965,731","50,174,130","26,321,018","19,283,639","16,754,143"
National,Streaming On-Demand Audio,"69,511,161","75,198,526","64,321,875","66,848,276","69,421,903","73,080,392","81,272,832","96,914,910","143,962,012","164,528,145","35,072,934","16,112,002","11,859,852","10,162,744"
National,Streaming On-Demand Video,"42,299,294","38,547,621","31,742,856","35,865,478","33,770,276","38,340,550","46,326,237","58,464,120","93,409,783","74,437,586","15,101,196","10,209,016","7,423,787","6,591,399"
National,Total Streaming Programmed,"3,972,840","3,701,457","3,085,460","4,114,395","4,416,518","4,634,024","4,919,606","5,448,864","6,704,046","5,780,259","1,332,456","709,709","518,248","443,860"
National,Streaming Programmed Audio,"3,972,728","3,701,061","3,085,162","4,114,290","4,416,409","4,633,951","4,919,375","5,448,549","6,703,650","5,779,429","1,332,317","709,672","518,230","443,803"
National,Streaming Programmed Video,112,396,298,105,109,73,231,315,396,830,139,37,18,57
National,Airplay,,,,,,,,,,,,,,
National,Airplay Spins,"69,639","77,380","74,178","76,347","78,721","79,594","81,285","91,858","148,768","172,167","20,276","7,533","7,073","5,437"
National,Airplay Audience,"419,197,500","368,492,800","277,333,900","450,462,800","457,764,600","458,941,600","465,577,900","516,622,600","666,973,600","591,963,500","86,095,700","44,369,200","43,675,700","36,884,600"
,,,,,,,,,,,,,,,
Market,Activity,12/15/2017,12/16/2017,12/17/2017,12/18/2017,12/19/2017,12/20/2017,12/21/2017,12/22/2017,12/23/2017,12/24/2017,12/25/2017,12/26/2017,12/27/2017,12/28/2017
National,Equivalents,,,,,,,,,,,,,,
