Market,Activity,12/16/2016,12/17/2016,12/18/2016,12/19/2016,12/20/2016,12/21/2016,12/22/2016,12/23/2016,12/24/2016,12/25/2016,12/26/2016,12/27/2016,12/28/2016,12/29/2016
National,Equivalents,,,,,,,,,,,,,,
National,Albums w/TEA w/SEA On-Demand,"2,010,247","2,054,463","1,807,929","1,770,789","1,816,108","1,941,099","2,714,322","2,460,790","2,361,931","2,122,746","1,729,723","1,583,400","1,391,925","1,137,402"
National,Albums w/TEA w/SEA On-Demand Audio,"1,637,886","1,657,660","1,473,938","1,447,232","1,482,478","1,591,408","2,341,766","2,051,301","1,871,951","1,730,830","1,409,802","1,259,718","1,066,194","797,269"
National,Albums w/ TEA,"1,024,565","1,101,486","981,869","888,994","899,822","1,001,021","1,745,541","1,455,127","1,291,748","1,222,823","928,875","725,444","517,569","244,434"
National,Sales,,,,,,,,,,,,,,
National,Total Album Sales,"859,856","918,983","811,673","745,649","752,035","846,114","1,559,229","1,261,301","1,053,601","728,033","594,046","468,089","289,288","244,339"
National,Physical Albums Sales,"602,321","671,775","594,745","567,863","564,768","648,819","1,266,774","955,534","745,023","238,492","268,954","216,911","59,122","236,413"
National,Digital Albums Sales,"257,535","247,208","216,928","177,786","187,267","197,295","292,455","305,767","308,578","489,541","325,092","251,178","230,166","7,926"
National,Digital Song Sales,"1,647,092","1,825,032","1,701,961","1,433,450","1,477,874","1,549,074","1,863,122","1,938,265","2,381,471","4,947,896","3,348,288","2,573,549","2,282,813",954
National,Streaming,,,,,,,,,,,,,,
National,Total Streaming On-Demand,"1,478,522,345","1,429,465,462","1,239,089,639","1,322,692,904","1,374,428,526","1,410,116,877","1,453,170,993","1,508,493,883","1,605,273,954","1,349,884,921","1,201,272,111","1,286,934,715","1,311,533,216","1,339,451,851"
National,Streaming On-Demand Audio,"919,981,042","834,260,500","738,103,924","837,357,250","873,982,927","885,579,915","894,337,389","894,260,852","870,304,344","762,010,635","721,391,520","801,411,343","822,937,182","829,251,609"
National,Streaming On-Demand Video,"558,541,303","595,204,962","500,985,715","485,335,654","500,445,599","524,536,962","558,833,604","614,233,031","734,969,610","587,874,286","479,880,591","485,523,372","488,596,034","510,200,242"
National,Total Streaming Programmed,"40,240,558","31,720,059","26,896,897","35,414,888","37,566,364","37,861,730","37,321,417","36,341,100","33,179,211","29,006,623","28,703,528","32,614,960","33,323,134","33,731,117"
National,Streaming Programmed Audio,"40,237,318","31,715,039","26,893,105","35,412,130","37,563,970","37,859,193","37,318,939","36,337,817","33,175,273","29,002,565","28,700,064","32,612,761","33,320,537","33,728,859"
National,Streaming Programmed Video,"3,240","5,020","3,792","2,758","2,394","2,537","2,478","3,283","3,938","4,058","3,464","2,199","2,597","2,258"
National,Airplay,,,,,,,,,,,,,,
National,Airplay Spins,"491,927","523,514","505,704","507,337","513,190","508,837","510,305","518,825","545,536","546,519","525,909","522,348","517,739","519,572"
National,Airplay Audience,"2,359,467,600","2,233,787,100","1,634,003,500","2,452,130,900","2,455,603,800","2,433,206,000","2,437,843,800","2,501,133,200","2,304,284,500","1,796,381,700","2,567,682,300","2,488,544,400","2,468,538,200","2,465,593,000"
,,,,,,,,,,,,,,,
Market,Activity,12/15/2017,12/16/2017,12/17/2017,12/18/2017,12/19/2017,12/20/2017,12/21/2017,12/22/2017,12/23/2017,12/24/2017,12/25/2017,12/26/2017,12/27/2017,12/28/2017
National,Equivalents,,,,,,,,,,,,,,
National,Albums w/TEA w/SEA On-Demand,"2,390,178","2,332,953","2,015,381","2,035,310","2,062,936","2,133,601","3,008,139","2,465,211","2,527,842","2,337,204","2,024,401","1,810,708","1,712,867","2,146,257"
National,Albums w/TEA w/SEA On-Demand Audio,"1,880,924","1,786,690","1,550,241","1,590,183","1,594,343","1,658,587","2,477,265","1,955,558","1,963,880","1,690,194","1,529,138","1,392,130","1,283,406","1,719,910"
National,Albums w/ TEA,"934,066","914,954","784,968","718,007","704,079","739,175","1,561,967","1,017,917","1,087,247","838,499","754,835","635,520","482,262","907,694"
National,Sales,,,,,,,,,,,,,,
National,Total Album Sales,"807,817","777,806","656,606","585,958","579,625","624,318","1,418,813","876,135","936,037","674,558","456,066","434,266","315,626","731,708"
