Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
12/13/2019,"252,101","234,209","79,852","73,215","55,618","17,597","66,370","269,420,425","202,323,495","67,096,930","90,283,979","90,283,979",0,"80,152","362,582,800"
12/14/2019,"280,426","263,719","86,891","78,958","58,183","20,775","79,329","291,872,377","229,224,044","62,648,333","81,973,623","81,973,623",0,"90,018","337,934,300"
12/15/2019,"236,468","221,785","68,551","61,299","43,055","18,244","72,523","253,973,785","198,913,027","55,060,758","68,633,017","68,633,017",0,"87,898","257,094,700"
12/16/2019,"235,068","219,273","68,974","62,719","48,041","14,678","62,549","256,811,244","197,581,090","59,230,154","90,798,427","90,798,427",0,"87,540","392,023,400"
12/17/2019,"236,796","219,812","63,021","56,349","41,412","14,937","66,720","269,600,797","205,907,816","63,692,981","95,201,729","95,201,729",0,"87,462","391,212,200"
12/18/2019,"254,098","236,520","74,521","68,054","53,710","14,344","64,675","278,728,464","212,810,374","65,918,090","98,136,043","98,136,043",0,"88,564","389,970,700"
12/19/2019,"273,874","254,663","84,069","77,351","62,627","14,724","67,184","295,749,118","223,710,007","72,039,111","101,062,707","101,062,707",0,"90,628","388,895,600"
12/20/2019,"294,374","273,141","80,354","72,698","55,635","17,063","76,563","331,784,545","252,160,875","79,623,670","109,157,048","109,157,048",0,"95,165","420,182,700"
12/21/2019,"314,953","296,154","85,318","76,504","56,053","20,451","88,144","343,417,048","272,921,286","70,495,762","99,028,422","99,028,422",0,"106,891","377,007,500"
12/22/2019,"277,597","260,838","71,706","63,463","44,770","18,693","82,432","307,687,229","244,842,464","62,844,765","84,690,835","84,690,835",0,"108,559","301,663,100"
12/23/2019,"321,192","300,623","77,820","70,233","53,817","16,416","75,869","367,345,494","290,209,042","77,136,452","119,364,452","119,364,452",0,"108,037","466,869,800"
12/24/2019,"506,151","464,637","77,723","67,055","40,577","26,478","106,681","654,972,721","499,297,798","155,674,923","183,087,470","183,087,470",0,"171,431","719,674,900"
12/25/2019,"477,053","442,877","45,395","37,826","19,014","18,812","75,690","641,979,297","513,817,695","128,161,602","158,482,099","158,482,099",0,"217,057","946,763,500"
12/26/2019,"122,753","116,791","43,845","41,236","36,975","4,261","26,093","117,728,703","95,373,165","22,355,538","30,330,122","30,330,122",0,"22,435","83,495,800"
