Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
12/14/2018,"2,465,337","2,209,863","687,797","592,833","443,745","149,088","949,639","3,085,971,053","2,127,940,677","958,030,376","599,331,991","599,331,991",0,"569,226","2,273,325,200"
12/15/2018,"2,413,917","2,136,029","728,814","625,783","484,973","140,810","1,030,309","3,000,688,748","1,958,607,169","1,042,081,579","516,503,869","516,503,869",0,"607,081","2,148,814,800"
12/16/2018,"2,053,239","1,819,078","600,153","505,383","379,515","125,868","947,697","2,584,550,181","1,706,448,900","878,101,281","422,973,648","422,973,648",0,"591,438","1,620,356,800"
12/17/2018,"2,249,298","2,028,857","623,409","539,682","439,940","99,742","837,268","2,798,713,462","1,972,060,254","826,653,208","564,611,478","564,611,478",0,"584,965","2,357,286,900"
12/18/2018,"2,187,981","1,963,594","517,834","434,095","334,112","99,983","837,388","2,866,703,189","2,025,253,673","841,449,516","586,176,688","586,176,688",0,"581,613","2,336,408,200"
12/19/2018,"2,322,620","2,104,542","648,010","562,930","455,200","107,730","850,797","2,853,055,142","2,035,263,393","817,791,749","593,918,147","593,918,147",0,"577,362","2,317,393,600"
12/20/2018,"2,497,763","2,275,155","801,073","690,803","528,226","162,577","1,102,705","2,891,635,192","2,056,856,032","834,779,160","599,068,889","599,068,889",0,"581,639","2,322,864,800"
12/21/2018,"2,666,093","2,390,799","834,871","735,406","562,695","172,711","994,653","3,196,408,717","2,164,057,114","1,032,351,603","609,633,932","609,633,932",0,"580,939","2,341,117,500"
12/22/2018,"2,593,222","2,316,588","862,843","756,772","592,501","164,271","1,060,705","3,053,349,572","2,015,972,155","1,037,377,417","534,584,966","534,584,966",0,"612,168","2,167,700,900"
12/23/2018,"2,284,088","2,027,182","717,899","617,948","468,877","149,071","999,505","2,783,259,745","1,819,863,493","963,396,252","466,433,562","466,433,562",0,"597,661","1,629,212,100"
12/24/2018,"2,497,364","2,185,585","683,737","575,523","416,292","159,231","1,082,138","3,242,639,919","2,073,468,128","1,169,171,791","594,389,075","594,389,075",0,"616,725","2,542,201,400"
12/25/2018,"2,132,334","1,890,101","560,998","367,351","125,241","242,110","1,936,474","2,743,448,184","1,835,078,023","908,370,161","461,034,662","461,034,662",0,"639,910","2,738,206,300"
12/26/2018,"2,090,564","1,866,410","614,385","483,415","327,713","155,702","1,309,700","2,587,210,162","1,746,629,460","840,580,702","475,550,345","475,550,345",0,"584,254","2,364,143,000"
12/27/2018,"2,085,192","1,852,433","542,887","406,284","230,784","175,500","1,366,033","2,699,373,189","1,826,524,633","872,848,556","502,857,660","502,857,660",0,"581,350","2,341,974,900"
