Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
Week 1 2018 12/29/2017 - 01/04/2018,"12,774,140","9,529,065","3,686,194","2,645,792","1,558,296","1,087,496","10,404,024","13,631,919,228","8,764,306,595","4,867,612,633","2,093,935,041","2,093,935,041",0,"4,034,449","16,361,782,300"
Week 2 2018 01/05/2018 - 01/11/2018,"13,023,719","9,866,050","3,323,936","2,398,591","1,413,353","985,237","9,253,450","14,549,675,527","9,813,171,035","4,736,504,492","3,861,204,709","3,861,204,709",0,"3,972,469","15,986,544,400"
Week 3 2018 01/12/2018 - 01/18/2018,"13,319,684","9,883,754","3,307,284","2,402,544","1,365,821","1,036,723","9,047,400","15,018,599,644","9,864,705,273","5,153,894,371","3,835,141,115","3,835,141,115",0,"3,919,058","15,662,997,600"
Week 4 2018 01/19/2018 - 01/25/2018,"13,694,675","10,285,210","3,380,435","2,497,344","1,410,012","1,087,331","8,830,912","15,471,360,903","10,357,162,906","5,114,197,997","4,040,668,403","4,040,668,403",0,"3,910,502","15,442,615,300"
Week 5 2018 01/26/2018 - 02/01/2018,"14,053,503","10,581,041","3,519,988","2,601,031","1,519,474","1,081,557","9,189,573","15,800,271,695","10,591,579,349","5,208,692,346","4,041,388,990","4,041,388,990",0,"3,356,408","13,432,940,600"
Week 6 2018 02/02/2018 - 02/08/2018,"13,901,966","10,464,696","3,503,775","2,651,446","1,563,563","1,087,883","8,523,292","15,597,285,618","10,441,380,269","5,155,905,349","3,921,433,667","3,921,433,667",0,"3,913,676","15,571,355,100"
Week 7 2018 02/09/2018 - 02/15/2018,"14,145,574","10,657,620","3,562,981","2,685,231","1,648,976","1,036,254","8,777,507","15,873,889,600","10,641,958,284","5,231,931,316","3,928,386,859","3,928,386,859",0,"3,870,248","15,308,261,500"
Week 8 2018 02/16/2018 - 02/22/2018,"14,111,116","10,575,990","3,486,966","2,618,483","1,575,304","1,043,178","8,684,834","15,936,224,792","10,633,535,588","5,302,689,204","3,922,839,860","3,922,839,860",0,"3,887,944","15,338,501,800"
Week 9 2018 02/23/2018 - 03/01/2018,"14,482,024","11,015,409","3,712,463","2,811,604","1,741,961","1,069,642","9,008,594","16,154,341,810","10,954,418,822","5,199,922,988","4,047,485,711","4,047,485,711",0,"3,908,374","15,403,361,500"
Week 10 2018 03/02/2018 - 03/08/2018,"14,224,922","10,774,511","3,505,442","2,615,456","1,610,634","1,004,822","8,899,867","16,079,219,877","10,903,603,281","5,175,616,596","4,075,012,735","4,075,012,735",0,"3,902,407","15,340,929,200"
Week 11 2018 03/09/2018 - 03/15/2018,"14,357,552","10,927,761","3,666,378","2,796,142","1,721,217","1,074,925","8,702,360","16,036,760,316","10,892,073,939","5,144,686,377","3,992,609,483","3,992,609,483",0,"3,860,898","15,040,920,200"
