Rank,Song,Artist,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,YTD Audio
1,All I Want For Christmas Is You,Mariah Carey,COL ,1,1,1,225,"166,816,904"
2,Rockin' Around the Christmas Tree,Brenda Lee,MCAN,2,2,2,209,"140,629,065"
3,Have A Holly Jolly Christmas,Burl Ives,INT ,3,3,3,209,"123,309,283"
4,Jingle Bell Rock,Bobby Helms,INT ,2,4,4,210,"122,633,486"
5,It's The Most Wonderful Time Of The Year,Andy Williams,COL ,2,5,5,209,"96,230,105"
6,Last Christmas,Wham!,EPIC,4,6,6,210,"89,870,335"
7,The Christmas Song,Nat King Cole,CAP ,6,7,7,209,"85,392,307"
8,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,CAP ,8,8,8,209,"80,693,828"
9,Sleigh Ride,Ronettes,WAR ,4,9,9,209,"75,977,921"
10,Feliz Navidad,Jose Feliciano,SML ,10,10,10,209,"73,898,003"
11,It's Beginning To Look A Lot Like Christmas,Perry Como,ORCH,9,11,11,64,"72,291,470"
12,Christmas (Baby Please Come Home),Darlene Love,WTM,10,12,16,148,"68,811,565"
13,Rudolph The Red-Nosed Reindeer,Gene Autry,CRFT,2,13,12,209,"68,762,280"
14,Here Comes Santa Claus,Gene Autry,CRFT,12,14,14,92,"67,167,292"
15,White Christmas,Bing Crosby,INT ,9,15,15,188,"66,412,392"
16,Underneath the Tree,Kelly Clarkson,RCA,16,16,17,209,"63,948,063"
17,Like It's Christmas,Jonas Brothers,R-RR,17,17,20,8,"62,979,484"
18,Jingle Bells,Frank Sinatra,CAP ,9,18,18,209,"62,433,734"
19,(There's No Place Like) Home For The Holidays (1959),Perry Como,RCA,11,19,19,163,"61,892,361"
20,Blue Christmas,Elvis Presley,RCA,11,20,22,209,"61,580,961"
21,"Baby, It's Cold Outside",Dean Martin,CAP ,20,21,21,209,"60,879,588"
22,Hallelujah,Pentatonix,RCA,1,22,13,169,"58,895,628"
23,Happy Holiday/The Holiday Season,Andy Williams,COL ,23,23,23,161,"58,621,687"
24,Run Rudolph Run,Chuck Berry,MCS,18,24,26,209,"57,828,373"
25,Happy Xmas,John Lennon,CAP ,20,25,25,209,"57,291,888"
26,Deck The Halls,Nat King Cole,CAP ,26,26,29,121,"56,176,732"
27,Santa Tell Me,Ariana Grande,R-RR,5,27,24,217,"53,519,051"
28,"You'Re A Mean One, Mr. Grinch",Thurl Ravenscroft,MERN,17,28,31,209,"53,070,816"
29,It's Beginning To Look A Lot Like Christmas,Michael Buble,WAR ,5,29,27,216,"52,506,745"
30,Have Yourself A Merry Little Christmas,Michael Buble,WAR ,6,30,30,209,"52,329,167"
31,Little Saint Nick,Beach Boys,CAP ,22,31,32,209,"52,090,824"
32,Please Come Home for Christmas,Eagles,EEG,27,32,33,209,"48,899,660"
33,Cozy Little Christmas,Katy Perry,CAP ,7,33,36,59,"48,819,235"
34,I'll Be Home For Christmas,Bing Crosby,INT ,27,34,37,69,"45,925,714"
35,Christmas Time Is Here,Vince Guaraldi Trio,FAN,4,35,34,209,"45,733,939"
36,Wonderful Christmas Time,Paul Mccartney,CAP ,21,36,38,209,"44,457,367"
37,Frosty the Snowman,Jimmy Durante,INT ,13,37,39,151,"43,575,707"
38,Mistletoe,Justin Bieber,DEF ,5,38,35,222,"42,320,976"
39,Santa Baby,Eartha Kitt,VANI,12,39,40,209,"41,963,577"
40,Winter Wonderland,Darlene Love,LEGC,18,40,41,61,"41,768,413"
41,Do You Want to Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",DBV,1,41,28,219,"41,381,062"
42,The Little Drummer Boy,Bing Crosby,CAP ,35,42,43,107,"39,860,599"
43,Silver Bells,Andy Williams,COL ,23,43,42,66,"39,180,571"
44,Merry Christmas Darling,Carpenters,AAM ,28,44,44,209,"37,119,315"
45,What Christmas Means To Me,John Legend,COL ,32,45,46,49,"36,102,401"
46,Do You Hear What I Hear?,Andy Williams,COL ,41,46,47,61,"35,487,285"
47,Merry Christmas Baby (Masterto,Otis Redding,CLP,47,47,51,57,"35,417,929"
48,The Christmas Waltz,Frank Sinatra,CAP ,36,48,50,163,"34,071,278"
49,O Come All Ye Faithful,Nat King Cole,CAP ,45,50,45,71,"33,887,618"
50,"First Noel, The",Andy Williams,COL ,39,49,53,60,"33,214,710"
51,Hawaiian Christmas Song (Mele Kalikimaka),Bing Crosby & The Andrews Sisters,INT ,30,51,54,140,"32,933,605"
52,Holly Jolly Christmas,Michael Buble,WAR ,17,52,48,209,"32,348,634"
53,Do They Know It's Christmas,Band Aid,R-RR,18,53,52,165,"32,176,487"
54,The Twelve Days of Christmas,"Conniff, Ray Singers",COL ,31,54,55,76,"32,091,901"
55,Hark! The Herald Angels Sing/G,Mariah Carey,COL ,38,55,56,72,"31,006,699"
56,Santa Claus Is Comin' To Town,Jackson 5,WTM,20,56,58,209,"30,437,600"
57,"Mary, Did You Know?",Pentatonix,RCA,7,57,49,113,"29,922,889"
58,This Christmas,Donny Hathaway,ATLG,36,58,60,209,"28,479,024"
59,I'Ll Be Home For Christmas (2011),Michael Buble,WAR ,42,59,57,181,"28,232,908"
60,What Christmas Means to Me,Stevie Wonder,MOT ,60,60,62,23,"26,902,712"
61,I Saw Mommy Kissing Santa Claus,Jackson 5,MOT ,24,62,63,164,"26,206,427"
62,"Let It Snow, Let It Snow, Let",Frank Sinatra,CAP ,23,61,59,209,"26,125,151"
63,"Merry Christmas, Happy Holidays",'N Sync,RCA,41,63,61,209,"24,672,285"
64,Santa Claus Is Comin' to Town,Bruce Springsteen,COL ,59,64,67,184,"23,710,458"
65,O Tannenbaum,Vince Guaraldi Trio,FAN,17,65,65,209,"23,424,659"
66,Christmas (Baby Please Come Home),Mariah Carey,COL ,58,66,64,206,"22,637,091"
67,Linus and Lucy,Vince Guaraldi Trio,FAN ,17,68,68,209,"22,578,307"
68,Christmas (Baby Please Come Home),Michael Buble,WAR ,21,67,66,209,"22,528,365"
69,Have Yourself a Merry Little Christmas,Sam Smith,CAP,21,69,69,209,"22,101,326"
70,Christmas Eve/Sarajevo 12/24,Trans-Siberian Orchestra,ATLG,34,70,70,209,"21,767,532"
71,Make It To Christmas,Alessia Cara,DEF ,71,71,77,6,"21,128,631"
72,Mistletoe And Holly,Frank Sinatra,CAP ,45,73,75,170,"20,844,185"
73,It's Beginning To Look A Lot Like Christmas,Bing Crosby,INT ,38,72,71,73,"20,822,373"
74,Carol Of The Bells,John Williams,SBSM,37,74,72,173,"20,752,848"
75,Santa Claus Is Coming To Town,Michael Buble,WAR ,25,75,73,199,"19,837,300"
76,You Make It Feel Like Christmas,Gwen Stefani,INT ,23,76,78,111,"19,445,877"
77,Winter Wonderland,Bing Crosby,CAP ,46,77,79,58,"19,444,755"
78,Here Comes Santa Claus,Elvis Presley,UNIV,69,78,80,97,"19,372,580"
79,Joy To The World,Nat King Cole,CAP ,79,79,84,48,"18,192,728"
80,Have Yourself A Merry Little Christmas,Judy Garland,INT ,51,80,83,85,"18,077,744"
81,Have Yourself a Merry Little Christmas,Frank Sinatra,CAP ,26,81,81,209,"18,060,518"
82,White Christmas,Michael Buble Duet With Shania Twain,WAR,77,82,82,9,"17,411,038"
83,Someday At Christmas,Stevie Wonder,MOT ,77,83,88,123,"17,126,462"
84,Do You Hear What I Hear?,Bing Crosby,CAP ,49,84,87,71,"16,308,126"
85,Santa Baby,Ariana Grande Feat. Liz Gillie,R-RR,57,85,85,165,"15,773,524"
86,Rockin' Around the Christmas Tree (feat. Camila Cabello) [From The Kacey Musgraves Christmas Show],Kacey Musgraves,,86,87,108,5,"15,448,081"
87,Hallelujah,Tori Kelly,R-RR,3,86,74,157,"15,363,672"
88,Little Drummer Boy,Pentatonix,RCA,20,88,86,209,"15,355,458"
89,Reindeer(s) Are Better Than People,Jonathan Groff,DBV,4,91,76,209,"15,221,498"
90,Where Are You Christmas,Faith Hill,INT ,46,90,91,202,"15,018,346"
91,Jingle Bells,Michael Buble Feat. The Puppin,WAR ,19,89,90,209,"15,004,711"
92,Christmas Tree Farm,Taylor Swift,R-RR,92,94,110,4,"14,993,164"
93,Step Into Christmas,Elton John,ISL ,92,92,98,79,"14,979,233"
94,Last Christmas,Ariana Grande,R-RR,29,93,89,209,"14,747,437"
95,Christmas Canon,Trans-Siberian Orchestra,LAVA,90,96,94,209,"14,717,308"
